,date,county,city,race,population,atleast_onedose,fully_vaccinated,boosted,boosted_second,partially_vaccinated
172300,2022-04-05,Suffolk,Chelsea,Multi,420.0,586.0,552.0,320.0,,34.0
172301,2022-04-05,Suffolk,Chelsea,NH/PI,16.0,,,,,
172302,2022-04-05,Suffolk,Chelsea,White,7307.0,7500.0,6644.0,3927.0,,856.0
172303,2022-04-05,Suffolk,Chelsea,Other/Unknown,,4439.0,2818.0,,,1621.0
172304,2022-04-05,Suffolk,Chelsea,Total,36918.0,,,,,
175329,2022-04-12,Suffolk,Chelsea,AI/AN,53.0,35.0,28.0,12.0,,7.0
175330,2022-04-12,Suffolk,Chelsea,Asian,810.0,1320.0,1106.0,600.0,,214.0
175331,2022-04-12,Suffolk,Chelsea,Black,3336.0,2174.0,1846.0,786.0,,328.0
175332,2022-04-12,Suffolk,Chelsea,Hispanic,25092.0,22573.0,18659.0,6817.0,,3914.0
175333,2022-04-12,Suffolk,Chelsea,Multi,420.0,590.0,557.0,326.0,,33.0
175334,2022-04-12,Suffolk,Chelsea,NH/PI,16.0,,,,,
175335,2022-04-12,Suffolk,Chelsea,White,7307.0,7513.0,6658.0,3956.0,,855.0
175336,2022-04-12,Suffolk,Chelsea,Other/Unknown,,4444.0,2817.0,,,1627.0
175337,2022-04-12,Suffolk,Chelsea,Total,36918.0,,,,,
178362,2022-04-19,Suffolk,Chelsea,AI/AN,53.0,35.0,28.0,12.0,,7.0
178363,2022-04-19,Suffolk,Chelsea,Asian,810.0,1321.0,1108.0,601.0,,213.0
178364,2022-04-19,Suffolk,Chelsea,Black,3336.0,2169.0,1846.0,784.0,,323.0
178365,2022-04-19,Suffolk,Chelsea,Hispanic,25092.0,22598.0,18685.0,6893.0,,3913.0
178366,2022-04-19,Suffolk,Chelsea,Multi,420.0,588.0,557.0,327.0,,31.0
178367,2022-04-19,Suffolk,Chelsea,NH/PI,16.0,,,,,
178368,2022-04-19,Suffolk,Chelsea,White,7307.0,7520.0,6668.0,3978.0,,852.0
178369,2022-04-19,Suffolk,Chelsea,Other/Unknown,,4435.0,2831.0,,,1604.0
178370,2022-04-19,Suffolk,Chelsea,Total,36918.0,,,,,
181395,2022-04-26,Suffolk,Chelsea,AI/AN,53.0,35.0,28.0,12.0,,7.0
181396,2022-04-26,Suffolk,Chelsea,Asian,810.0,1324.0,1108.0,604.0,,216.0
181397,2022-04-26,Suffolk,Chelsea,Black,3336.0,2173.0,1847.0,790.0,,326.0
181398,2022-04-26,Suffolk,Chelsea,Hispanic,25092.0,22629.0,18726.0,6971.0,,3903.0
181399,2022-04-26,Suffolk,Chelsea,Multi,420.0,591.0,560.0,334.0,,31.0
181400,2022-04-26,Suffolk,Chelsea,NH/PI,16.0,,,,,
181401,2022-04-26,Suffolk,Chelsea,White,7307.0,7532.0,6679.0,3989.0,,853.0
181402,2022-04-26,Suffolk,Chelsea,Other/Unknown,,4420.0,2823.0,,,1597.0
181403,2022-04-26,Suffolk,Chelsea,Total,36918.0,,,,,
184428,2022-05-03,Suffolk,Chelsea,AI/AN,53.0,35.0,29.0,12.0,,6.0
184429,2022-05-03,Suffolk,Chelsea,Asian,810.0,1326.0,1110.0,613.0,,216.0
184430,2022-05-03,Suffolk,Chelsea,Black,3336.0,2181.0,1856.0,805.0,,325.0
184431,2022-05-03,Suffolk,Chelsea,Hispanic,25092.0,22677.0,18756.0,7039.0,,3921.0
184432,2022-05-03,Suffolk,Chelsea,Multi,420.0,594.0,563.0,340.0,,31.0
184433,2022-05-03,Suffolk,Chelsea,NH/PI,16.0,,,,,
184434,2022-05-03,Suffolk,Chelsea,White,7307.0,7543.0,6686.0,4010.0,,857.0
184435,2022-05-03,Suffolk,Chelsea,Other/Unknown,,4446.0,2825.0,,,1621.0
184436,2022-05-03,Suffolk,Chelsea,Total,36918.0,,,,,
187461,2022-05-10,Suffolk,Chelsea,AI/AN,53.0,35.0,29.0,12.0,,6.0
187462,2022-05-10,Suffolk,Chelsea,Asian,810.0,1330.0,1110.0,614.0,,220.0
187463,2022-05-10,Suffolk,Chelsea,Black,3336.0,2178.0,1854.0,811.0,,324.0
187464,2022-05-10,Suffolk,Chelsea,Hispanic,25092.0,22690.0,18784.0,7117.0,,3906.0
187465,2022-05-10,Suffolk,Chelsea,Multi,420.0,595.0,564.0,345.0,,31.0
187466,2022-05-10,Suffolk,Chelsea,NH/PI,16.0,,,,,
187467,2022-05-10,Suffolk,Chelsea,White,7307.0,7554.0,6696.0,4024.0,,858.0
187468,2022-05-10,Suffolk,Chelsea,Other/Unknown,,4443.0,2818.0,,,1625.0
187469,2022-05-10,Suffolk,Chelsea,Total,36918.0,,,,,
190494,2022-05-17,Suffolk,Chelsea,AI/AN,53.0,35.0,29.0,12.0,,6.0
190495,2022-05-17,Suffolk,Chelsea,Asian,810.0,1327.0,1108.0,615.0,,219.0
190496,2022-05-17,Suffolk,Chelsea,Black,3336.0,2185.0,1866.0,819.0,,319.0
190497,2022-05-17,Suffolk,Chelsea,Hispanic,25092.0,22750.0,18813.0,7187.0,,3937.0
190498,2022-05-17,Suffolk,Chelsea,Multi,420.0,601.0,568.0,350.0,,33.0
190499,2022-05-17,Suffolk,Chelsea,NH/PI,16.0,,,,,
190500,2022-05-17,Suffolk,Chelsea,White,7307.0,7571.0,6709.0,4057.0,,862.0
190501,2022-05-17,Suffolk,Chelsea,Other/Unknown,,4442.0,2817.0,,,1625.0
190502,2022-05-17,Suffolk,Chelsea,Total,36918.0,,,,,
193527,2022-05-24,Suffolk,Chelsea,AI/AN,53.0,36.0,30.0,12.0,,6.0
193528,2022-05-24,Suffolk,Chelsea,Asian,810.0,1330.0,1110.0,624.0,,220.0
193529,2022-05-24,Suffolk,Chelsea,Black,3336.0,2187.0,1869.0,825.0,,318.0
193530,2022-05-24,Suffolk,Chelsea,Hispanic,25092.0,22779.0,18844.0,7254.0,,3935.0
193531,2022-05-24,Suffolk,Chelsea,Multi,420.0,602.0,569.0,354.0,,33.0
193532,2022-05-24,Suffolk,Chelsea,NH/PI,16.0,,,,,
193533,2022-05-24,Suffolk,Chelsea,White,7307.0,7572.0,6709.0,4068.0,,863.0
193534,2022-05-24,Suffolk,Chelsea,Other/Unknown,,4443.0,2812.0,,,1631.0
193535,2022-05-24,Suffolk,Chelsea,Total,36918.0,,,,,
196560,2022-05-31,Suffolk,Chelsea,AI/AN,53.0,38.0,31.0,13.0,,7.0
196561,2022-05-31,Suffolk,Chelsea,Asian,810.0,1331.0,1112.0,625.0,,219.0
196562,2022-05-31,Suffolk,Chelsea,Black,3336.0,2189.0,1867.0,830.0,,322.0
196563,2022-05-31,Suffolk,Chelsea,Hispanic,25092.0,22797.0,18860.0,7315.0,,3937.0
196564,2022-05-31,Suffolk,Chelsea,Multi,420.0,601.0,568.0,355.0,,33.0
196565,2022-05-31,Suffolk,Chelsea,NH/PI,16.0,,,,,
196566,2022-05-31,Suffolk,Chelsea,White,7307.0,7574.0,6719.0,4087.0,,855.0
196567,2022-05-31,Suffolk,Chelsea,Other/Unknown,,4445.0,2813.0,,,1632.0
196568,2022-05-31,Suffolk,Chelsea,Total,36918.0,,,,,
199593,2022-06-07,Suffolk,Chelsea,AI/AN,53.0,38.0,31.0,13.0,,7.0
199594,2022-06-07,Suffolk,Chelsea,Asian,810.0,1335.0,1115.0,627.0,,220.0
199595,2022-06-07,Suffolk,Chelsea,Black,3336.0,2197.0,1874.0,841.0,,323.0
199596,2022-06-07,Suffolk,Chelsea,Hispanic,25092.0,22829.0,18886.0,7380.0,,3943.0
199597,2022-06-07,Suffolk,Chelsea,Multi,420.0,599.0,568.0,355.0,,31.0
199598,2022-06-07,Suffolk,Chelsea,NH/PI,16.0,,,,,
199599,2022-06-07,Suffolk,Chelsea,White,7307.0,7585.0,6732.0,4111.0,,853.0
199600,2022-06-07,Suffolk,Chelsea,Other/Unknown,,4434.0,2819.0,,,1615.0
199601,2022-06-07,Suffolk,Chelsea,Total,36918.0,,,,,
202626,2022-06-14,Suffolk,Chelsea,AI/AN,53.0,39.0,31.0,13.0,,8.0
202627,2022-06-14,Suffolk,Chelsea,Asian,810.0,1338.0,1114.0,630.0,,224.0
202628,2022-06-14,Suffolk,Chelsea,Black,3336.0,2201.0,1874.0,847.0,,327.0
202629,2022-06-14,Suffolk,Chelsea,Hispanic,25092.0,22853.0,18929.0,7480.0,,3924.0
202630,2022-06-14,Suffolk,Chelsea,Multi,420.0,603.0,572.0,363.0,,31.0
202631,2022-06-14,Suffolk,Chelsea,NH/PI,16.0,,,,,
202632,2022-06-14,Suffolk,Chelsea,White,7307.0,7587.0,6734.0,4125.0,,853.0
202633,2022-06-14,Suffolk,Chelsea,Other/Unknown,,4430.0,2813.0,,,1617.0
202634,2022-06-14,Suffolk,Chelsea,Total,36918.0,,,,,
205659,2022-06-21,Suffolk,Chelsea,AI/AN,53.0,39.0,31.0,13.0,,8.0
205660,2022-06-21,Suffolk,Chelsea,Asian,810.0,1335.0,1112.0,633.0,,223.0
205661,2022-06-21,Suffolk,Chelsea,Black,3336.0,2206.0,1874.0,858.0,,332.0
205662,2022-06-21,Suffolk,Chelsea,Hispanic,25092.0,22880.0,18957.0,7546.0,,3923.0
205663,2022-06-21,Suffolk,Chelsea,Multi,420.0,604.0,573.0,364.0,,31.0
205664,2022-06-21,Suffolk,Chelsea,NH/PI,16.0,,,,,
205665,2022-06-21,Suffolk,Chelsea,White,7307.0,7608.0,6746.0,4154.0,,862.0
205666,2022-06-21,Suffolk,Chelsea,Other/Unknown,,4421.0,2814.0,,,1607.0
205667,2022-06-21,Suffolk,Chelsea,Total,36918.0,,,,,
208692,2022-06-28,Suffolk,Chelsea,AI/AN,53.0,38.0,30.0,13.0,,8.0
208693,2022-06-28,Suffolk,Chelsea,Asian,810.0,1341.0,1114.0,636.0,,227.0
208694,2022-06-28,Suffolk,Chelsea,Black,3336.0,2211.0,1875.0,867.0,,336.0
208695,2022-06-28,Suffolk,Chelsea,Hispanic,25092.0,22911.0,18985.0,7622.0,,3926.0
208696,2022-06-28,Suffolk,Chelsea,Multi,420.0,607.0,577.0,367.0,,30.0
208697,2022-06-28,Suffolk,Chelsea,NH/PI,16.0,,,,,
208698,2022-06-28,Suffolk,Chelsea,White,7307.0,7611.0,6749.0,4174.0,,862.0
208699,2022-06-28,Suffolk,Chelsea,Other/Unknown,,4424.0,2816.0,,,1608.0
208700,2022-06-28,Suffolk,Chelsea,Total,36918.0,,,,,
211725,2022-07-05,Suffolk,Chelsea,AI/AN,53.0,39.0,31.0,13.0,,8.0
211726,2022-07-05,Suffolk,Chelsea,Asian,810.0,1343.0,1115.0,638.0,,228.0
211727,2022-07-05,Suffolk,Chelsea,Black,3336.0,2208.0,1871.0,871.0,,337.0
211728,2022-07-05,Suffolk,Chelsea,Hispanic,25092.0,22934.0,19004.0,7662.0,,3930.0
211729,2022-07-05,Suffolk,Chelsea,Multi,420.0,607.0,576.0,367.0,,31.0
211730,2022-07-05,Suffolk,Chelsea,NH/PI,16.0,,,,,
211731,2022-07-05,Suffolk,Chelsea,White,7307.0,7619.0,6756.0,4183.0,,863.0
211732,2022-07-05,Suffolk,Chelsea,Other/Unknown,,4433.0,2812.0,,,1621.0
211733,2022-07-05,Suffolk,Chelsea,Total,36918.0,,,,,
214758,2022-07-12,Suffolk,Chelsea,AI/AN,75.0,39.0,31.0,13.0,1.0,
214759,2022-07-12,Suffolk,Chelsea,Asian,1351.0,1344.0,1115.0,641.0,61.0,
214760,2022-07-12,Suffolk,Chelsea,Black,3014.0,2210.0,1872.0,875.0,107.0,
214761,2022-07-12,Suffolk,Chelsea,Hispanic,26773.0,22958.0,19030.0,7709.0,702.0,
214762,2022-07-12,Suffolk,Chelsea,Multi,1046.0,609.0,578.0,369.0,55.0,
214763,2022-07-12,Suffolk,Chelsea,NH/PI,12.0,,,,,
214764,2022-07-12,Suffolk,Chelsea,White,8517.0,7631.0,6756.0,4187.0,1017.0,
214765,2022-07-12,Suffolk,Chelsea,Other/Unknown,,4436.0,2808.0,751.0,,
214766,2022-07-12,Suffolk,Chelsea,Total,40787.0,,,,,
217791,2022-07-19,Suffolk,Chelsea,AI/AN,75.0,39.0,31.0,13.0,1.0,
217792,2022-07-19,Suffolk,Chelsea,Asian,1351.0,1346.0,1114.0,644.0,64.0,
217793,2022-07-19,Suffolk,Chelsea,Black,3014.0,2212.0,1875.0,878.0,111.0,
217794,2022-07-19,Suffolk,Chelsea,Hispanic,26773.0,23011.0,19065.0,7790.0,736.0,
217795,2022-07-19,Suffolk,Chelsea,Multi,1046.0,610.0,579.0,373.0,57.0,
217796,2022-07-19,Suffolk,Chelsea,NH/PI,12.0,,,,,
217797,2022-07-19,Suffolk,Chelsea,White,8517.0,7644.0,6761.0,4210.0,1058.0,
217798,2022-07-19,Suffolk,Chelsea,Other/Unknown,,4450.0,2803.0,756.0,,
217799,2022-07-19,Suffolk,Chelsea,Total,40787.0,,,,,
220824,2022-07-26,Suffolk,Chelsea,AI/AN,75.0,40.0,32.0,14.0,1.0,
220825,2022-07-26,Suffolk,Chelsea,Asian,1351.0,1350.0,1120.0,646.0,74.0,
220826,2022-07-26,Suffolk,Chelsea,Black,3014.0,2217.0,1879.0,882.0,110.0,
220827,2022-07-26,Suffolk,Chelsea,Hispanic,26773.0,23057.0,19106.0,7870.0,793.0,
220828,2022-07-26,Suffolk,Chelsea,Multi,1046.0,611.0,580.0,375.0,59.0,
220829,2022-07-26,Suffolk,Chelsea,NH/PI,12.0,,,,,
220830,2022-07-26,Suffolk,Chelsea,White,8517.0,7641.0,6761.0,4229.0,1096.0,
220831,2022-07-26,Suffolk,Chelsea,Other/Unknown,,4457.0,2799.0,761.0,,
220832,2022-07-26,Suffolk,Chelsea,Total,40787.0,,,,,
223857,2022-08-02,Suffolk,Chelsea,AI/AN,75.0,39.0,31.0,13.0,1.0,
223858,2022-08-02,Suffolk,Chelsea,Asian,1351.0,1353.0,1121.0,648.0,76.0,
223859,2022-08-02,Suffolk,Chelsea,Black,3014.0,2224.0,1883.0,888.0,118.0,
223860,2022-08-02,Suffolk,Chelsea,Hispanic,26773.0,23065.0,19119.0,7947.0,837.0,
223861,2022-08-02,Suffolk,Chelsea,Multi,1046.0,614.0,583.0,379.0,61.0,
223862,2022-08-02,Suffolk,Chelsea,NH/PI,12.0,,,,,
223863,2022-08-02,Suffolk,Chelsea,White,8517.0,7645.0,6760.0,4236.0,1119.0,
223864,2022-08-02,Suffolk,Chelsea,Other/Unknown,0.0,,,,,
223865,2022-08-02,Suffolk,Chelsea,Total,40787.0,43889.0,35112.0,14889.0,2291.0,
226890,2022-08-09,Suffolk,Chelsea,AI/AN,75.0,40.0,32.0,14.0,2.0,
226891,2022-08-09,Suffolk,Chelsea,Asian,1351.0,1353.0,1120.0,649.0,80.0,
226892,2022-08-09,Suffolk,Chelsea,Black,3014.0,2227.0,1887.0,894.0,122.0,
226893,2022-08-09,Suffolk,Chelsea,Hispanic,26773.0,23086.0,19141.0,8004.0,881.0,
226894,2022-08-09,Suffolk,Chelsea,Multi,1046.0,616.0,585.0,381.0,63.0,
226895,2022-08-09,Suffolk,Chelsea,NH/PI,12.0,,,,,
226896,2022-08-09,Suffolk,Chelsea,White,8517.0,7656.0,6770.0,4243.0,1139.0,
226897,2022-08-09,Suffolk,Chelsea,Other/Unknown,0.0,,,,,
226898,2022-08-09,Suffolk,Chelsea,Total,40787.0,43911.0,35146.0,14964.0,2368.0,
229923,2022-08-16,Suffolk,Chelsea,AI/AN,75.0,39.0,31.0,14.0,2.0,
229924,2022-08-16,Suffolk,Chelsea,Asian,1351.0,1354.0,1121.0,653.0,81.0,
229925,2022-08-16,Suffolk,Chelsea,Black,3014.0,2234.0,1890.0,901.0,123.0,
229926,2022-08-16,Suffolk,Chelsea,Hispanic,26773.0,23147.0,19175.0,8090.0,913.0,
229927,2022-08-16,Suffolk,Chelsea,Multi,1046.0,619.0,588.0,385.0,64.0,
229928,2022-08-16,Suffolk,Chelsea,NH/PI,12.0,,,,,
229929,2022-08-16,Suffolk,Chelsea,White,8517.0,7663.0,6778.0,4251.0,1151.0,
229930,2022-08-16,Suffolk,Chelsea,Other/Unknown,0.0,,,,,
229931,2022-08-16,Suffolk,Chelsea,Total,40787.0,44001.0,35202.0,15080.0,2416.0,
232956,2022-08-23,Suffolk,Chelsea,AI/AN,75.0,39.0,31.0,14.0,2.0,
232957,2022-08-23,Suffolk,Chelsea,Asian,1351.0,1353.0,1121.0,653.0,81.0,
232958,2022-08-23,Suffolk,Chelsea,Black,3014.0,2240.0,1893.0,916.0,124.0,
232959,2022-08-23,Suffolk,Chelsea,Hispanic,26773.0,23174.0,19198.0,8160.0,945.0,
232960,2022-08-23,Suffolk,Chelsea,Multi,1046.0,618.0,589.0,385.0,66.0,
232961,2022-08-23,Suffolk,Chelsea,NH/PI,12.0,,,,,
232962,2022-08-23,Suffolk,Chelsea,White,8517.0,7664.0,6784.0,4262.0,1165.0,
232963,2022-08-23,Suffolk,Chelsea,Other/Unknown,0.0,,,,,
232964,2022-08-23,Suffolk,Chelsea,Total,40787.0,44029.0,35243.0,15181.0,2466.0,
235989,2022-08-30,Suffolk,Chelsea,AI/AN,75.0,39.0,31.0,14.0,2.0,
235990,2022-08-30,Suffolk,Chelsea,Asian,1351.0,1357.0,1123.0,658.0,81.0,
235991,2022-08-30,Suffolk,Chelsea,Black,3014.0,2251.0,1897.0,924.0,126.0,
235992,2022-08-30,Suffolk,Chelsea,Hispanic,26773.0,23220.0,19214.0,8205.0,967.0,
235993,2022-08-30,Suffolk,Chelsea,Multi,1046.0,620.0,590.0,387.0,67.0,
235994,2022-08-30,Suffolk,Chelsea,NH/PI,12.0,,,,,
235995,2022-08-30,Suffolk,Chelsea,White,8517.0,7674.0,6789.0,4273.0,1175.0,
235996,2022-08-30,Suffolk,Chelsea,Other/Unknown,0.0,,,,,
235997,2022-08-30,Suffolk,Chelsea,Total,40787.0,44106.0,35279.0,15259.0,2504.0,
239022,2022-09-06,Suffolk,Chelsea,AI/AN,75.0,39.0,31.0,14.0,3.0,
239023,2022-09-06,Suffolk,Chelsea,Asian,1351.0,1356.0,1123.0,659.0,84.0,
239024,2022-09-06,Suffolk,Chelsea,Black,3014.0,2265.0,1913.0,937.0,129.0,
239025,2022-09-06,Suffolk,Chelsea,Hispanic,26773.0,23261.0,19289.0,8265.0,973.0,
239026,2022-09-06,Suffolk,Chelsea,Multi,1046.0,633.0,604.0,399.0,69.0,
239027,2022-09-06,Suffolk,Chelsea,NH/PI,12.0,,,,,
239028,2022-09-06,Suffolk,Chelsea,White,8517.0,7701.0,6820.0,4287.0,1181.0,
239029,2022-09-06,Suffolk,Chelsea,Other/Unknown,,,,,,
239030,2022-09-06,Suffolk,Chelsea,Total,40787.0,43996.0,35245.0,15356.0,2524.0,
242055,2022-09-13,Suffolk,Chelsea,AI/AN,75.0,39.0,31.0,14.0,3.0,
242056,2022-09-13,Suffolk,Chelsea,Asian,1351.0,1363.0,1126.0,664.0,90.0,
242057,2022-09-13,Suffolk,Chelsea,Black,3014.0,2279.0,1924.0,942.0,132.0,
242058,2022-09-13,Suffolk,Chelsea,Hispanic,26773.0,23220.0,19343.0,8365.0,1010.0,
242059,2022-09-13,Suffolk,Chelsea,Multi,1046.0,639.0,607.0,401.0,73.0,
242060,2022-09-13,Suffolk,Chelsea,NH/PI,12.0,,,,,
242061,2022-09-13,Suffolk,Chelsea,White,8517.0,7717.0,6839.0,4309.0,1233.0,
242062,2022-09-13,Suffolk,Chelsea,Other/Unknown,,,,,,
242063,2022-09-13,Suffolk,Chelsea,Total,40787.0,43847.0,35275.0,15493.0,2628.0,
245088,2022-09-20,Suffolk,Chelsea,AI/AN,75.0,40.0,32.0,15.0,4.0,
245089,2022-09-20,Suffolk,Chelsea,Asian,1351.0,1356.0,1128.0,666.0,95.0,
245090,2022-09-20,Suffolk,Chelsea,Black,3014.0,2275.0,1918.0,947.0,140.0,
245091,2022-09-20,Suffolk,Chelsea,Hispanic,26773.0,23181.0,19416.0,8486.0,1036.0,
245092,2022-09-20,Suffolk,Chelsea,Multi,1046.0,645.0,613.0,407.0,76.0,
245093,2022-09-20,Suffolk,Chelsea,NH/PI,12.0,,,,,
245094,2022-09-20,Suffolk,Chelsea,White,8517.0,7733.0,6856.0,4327.0,1271.0,
245095,2022-09-20,Suffolk,Chelsea,Other/Unknown,,,,,,
245096,2022-09-20,Suffolk,Chelsea,Total,40787.0,43705.0,35339.0,15646.0,2709.0,
248121,2022-09-27,Suffolk,Chelsea,AI/AN,75.0,42.0,34.0,16.0,5.0,
248122,2022-09-27,Suffolk,Chelsea,Asian,1351.0,1355.0,1128.0,666.0,103.0,
248123,2022-09-27,Suffolk,Chelsea,Black,3014.0,2278.0,1923.0,953.0,148.0,
248124,2022-09-27,Suffolk,Chelsea,Hispanic,26773.0,23191.0,19444.0,8563.0,1123.0,
248125,2022-09-27,Suffolk,Chelsea,Multi,1046.0,649.0,616.0,410.0,82.0,
248126,2022-09-27,Suffolk,Chelsea,NH/PI,12.0,,,,,
248127,2022-09-27,Suffolk,Chelsea,White,8517.0,7736.0,6859.0,4344.0,1328.0,
248128,2022-09-27,Suffolk,Chelsea,Other/Unknown,,,,,,
248129,2022-09-27,Suffolk,Chelsea,Total,40787.0,43776.0,35377.0,15758.0,2888.0,
251154,2022-10-04,Suffolk,Chelsea,AI/AN,75.0,43.0,34.0,16.0,5.0,
251155,2022-10-04,Suffolk,Chelsea,Asian,1351.0,1359.0,1129.0,671.0,109.0,
251156,2022-10-04,Suffolk,Chelsea,Black,3014.0,2283.0,1925.0,956.0,156.0,
251157,2022-10-04,Suffolk,Chelsea,Hispanic,26773.0,23222.0,19484.0,8628.0,1258.0,
251158,2022-10-04,Suffolk,Chelsea,Multi,1046.0,652.0,620.0,414.0,94.0,
251159,2022-10-04,Suffolk,Chelsea,NH/PI,12.0,,,,,
251160,2022-10-04,Suffolk,Chelsea,White,8517.0,7763.0,6891.0,4378.0,1417.0,
251161,2022-10-04,Suffolk,Chelsea,Other/Unknown,,,,,,
251162,2022-10-04,Suffolk,Chelsea,Total,40787.0,39586.0,32780.0,15871.0,3146.0,
